budget,arm,control,arm_mean,control_mean,difference,ci_low,ci_high,p_value,folds,evaluation_images
10,semi_supervised_joint,joint_permuted_control,0.9247111111111112,0.8113333333333332,0.11337777777777779,0.04990888888888891,0.18024666666666653,0.002,25,99
10,self_training,self_training_control,0.9219111111111111,0.9312,-0.00928888888888888,-0.03991888888888887,0.018758888888888887,0.53,25,99
59,semi_supervised_joint,joint_permuted_control,0.9551555555555555,0.9223111111111111,0.03284444444444445,0.008620000000000006,0.05724888888888889,0.008,25,99
59,self_training,self_training_control,0.9629777777777778,0.9481777777777778,0.014799999999999978,-0.008141111111111128,0.042625555555555514,0.256,25,99
